,blocknumber,exchangerate
185,13716568,0.9975678796310655
186,13716572,0.9975678796310655
187,13716574,0.9975678796310655
188,13716574,0.9975678796310655
189,13716574,0.9975678796310655
190,13716580,0.9975678796310655
191,13716580,0.9975678796310655
192,13716588,0.9975678796310655
193,13716589,0.9975678796310655
194,13716594,0.9975678796310655
195,13716597,0.9975678796310655
196,13716598,0.9975678796310655
197,13716598,0.9975678796310655
198,13716600,0.9975678796310655
199,13716605,0.9975678796310655
200,13716606,0.9975678796310655
201,13716609,0.9975678796310655
202,13716611,0.9975678796310655
203,13716611,0.9975678796310655
204,13716620,0.9975678796310655
205,13716621,0.9975678796310655
206,13716627,0.9975678796310655
207,13716630,0.9975678796310655
208,13716632,0.9975678796310655
209,13716634,0.9975678796310655
210,13716636,0.9975678796310655
211,13716636,0.9975678796310655
