,blocknumber,MIM,USDC,direction,MIM_to_USDC
87,12828903,8056.5722693583675,8079.406876999999,-1,0.9971737272315575
88,12829259,11271.575381925499,11294.582991,-1,0.9979629518776537
89,12829633,6673.287940876011,6682.001061999999,-1,0.9986960311674389
90,12830077,6834.929542694745,6840.073166,-1,0.9992480163325119
91,12830696,7123.0374768980655,7135.616798,1,0.9982371080933802
92,12830986,10175.063220124224,10181.572686,-1,0.9993606620434261
93,12831020,9643.970145421492,9642.322726,-1,1.0001708529644056
94,12831225,7239.322905512937,7233.093008999999,-1,1.000861304632083
95,12831481,8827.127885951964,8813.743815,-1,1.0015185454935944
96,12831993,8135.382330955475,8130.947789,1,1.0005453905338655
97,12832600,9878.944649363119,9862.98784,-1,1.0016178474131747
98,12833634,6887.665540997745,6882.581819999999,1,1.000738635751917
99,12835118,3643.540060483492,3642.418271,1,1.000307979314848
